,city_state_country
775,"NEW LONDON, CT, USA"
776,"Planville, CT, USA"
777,"GLASTONBURY, CT, USA"
778,"Preston, CT, CT, USA"
779,"PAWCATUCK, CT, USA"
780,"Chesire, CT, USA"
781,"UNCASVILLE, CT, USA"
782,"STERLING, CT, USA"
783,"WOODBRIDGE, CT, USA"
784,"NORTH GROSVENORDALE, CT, USA"
785,"PROSPECT, CT, USA"
786,"DERBY, CT, USA"
787,"New HAven, CT, USA"
788,"SEYMOUR, CT, USA"
789,"BEACON FALLS, CT, USA"
790,"SALEM, CT, USA"
791,"SHERMAN, CT, USA"
792,"Ne w Haven, CT, USA"
793,"MYSTIC, CT, USA"
794,"East Lyme,, CT, USA"
795,"Norwich, CT, USA"
796,"Daielson, CT, USA"
797,"LEDYARD, CT, USA"
798,"North Windsor, CT, USA"
799,"Putman, CT, USA"
800,"North  Stonington, CT, USA"
801,"SOUTH WOODSTOCK, CT, USA"
802,"Plainville Road, CT, USA"
803,"CENTRAL VILLAGE, CT, USA"
804,"CANTERBURY, CT, USA"
805,"UNION, CT, USA"
806,"East Haven,, CT, USA"
807,"Niantc, CT, USA"
808,"rocky hill, CT, USA"
809,"PLAINFIELD, CT, USA"
810,"WATERTOWN, CT, USA"
811,"WOODBURY, CT, USA"
812,"VOLUNTOWN, CT, USA"
813,"Cantebury, CT, USA"
814,"Startford, CT, USA"
815,"Winsdor, CT, USA"
816,"GUilford, CT, USA"
817,"columbia, CT, USA"
818,"Pawtucket, CT, USA"
819,"Mossup, CT, USA"
820,"BLOOMFIELD, CT, USA"
821,"Harwington, CT, USA"
822,"HARTFORD, CT, USA"
823,"BETHEL, CT, USA"
824,"Wetherfield, CT, USA"
825,"Banford, CT, USA"
826,"Trumbul, CT, USA"
827,"EAST LYME, CT, USA"
828,"THOMPSON, CT, USA"
829,"stonington, CT, USA"
830,"STORRS, CT, USA"
831,"VERNON, CT, USA"
832,"BETHANY, CT, USA"
833,"Fairfeild, CT, USA"
834,"East Hampton,, CT, USA"
835,"Hartland, CT, USA"
836,"Ledyard CT, CT, USA"
837,"New Br, CT, USA"
838,"NEW MILFORD, CT, USA"
839,"PUTNAM, CT, USA"
840,"Bloomfiled, CT, USA"
841,"Colcheser, CT, USA"
842,"Wethesfield, CT, USA"
843,"BRIDGEWATER, CT, USA"
844,"Trumbell, CT, USA"
845,"Road Griswold, CT, USA"
846,"MOOSUP, CT, USA"
847,"NORTH STONINGTON, CT, USA"
848,"SOUTH GLASTONBURY, CT, USA"
849,"S Glastonbury, CT, USA"
850,"Broadbrook, CT, USA"
851,"pawcatuck, CT, USA"
852,"Quakerhill, CT, USA"
853,"CHESTER, CT, USA"
